DATASET,SERIES_CODE,OBS_MEASURE,SCALE,DECIMALS_DISPLAYED,OVERLAP,IFS_FLAG,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2
IMF.STA:BOP(21.0.0),AUS.NNAFANIL_T.FABXRRI.USD.Q,OBS_VALUE,6,,,true,-11969590414.13674,-12382248473.85658,-10902393275.79786,-14528418667.05806,-5625186087.981415,-14195422146.25257,-4611498414.497064,-24751696519.45563,709168675.263781,-11139613161.85383,-5618130394.993678,-4711618530.485216,-5249535380.143632,6329055753.677729,6595928438.415765,-6924745093.716768,5673870114.764477,25343003334.01679,5858422802.7564,11676556098.62733,7667747590.397915,18491010334.60718,-2466387221.415702,5367896511.548213,1953173379.025692,11174897702.72736,-8745994632.165291,5798850423.328468,1177882353.720659,2195857145.767675,-9961172597.998728,-520431023.527859,-3920383166.238769,-17222578942.02818,-10550224522.84144,-14420366782.02321,-8985589050.198441,-9151918893.473172
IMF.STA:BOP(21.0.0),AUS.NNAFANIL_T.TCAKAFA.USD.Q,OBS_VALUE,6,,,true,585324144.31069,-621946231.46209,-3354874147.80288,8923550297.102495,180357576.308706,5858559314.512567,-8416260885.889736,11384719710.77778,-9496727747.795123,865455264.00209,-5533328426.767362,-1999064230.256147,2718789219.268402,-4484335951.17831,-6142171332.91527,6315165243.366898,-2698427616.913974,-15040031165.1058,-2986801221.334467,-3570716260.997006,3345701337.961715,-871134781.04056,12422601797.35895,-3304834466.450056,-3284948264.502103,167451720.18688,111366074.919349,-1234873502.352675,795755404.083381,171791563.611054,-841992109.966232,2509778610.963084,-1120579478.366012,9706528683.789372,-4378895983.28162,6867556102.789219,984876766.881571,2492252192.373177
IMF.STA:BOP(21.0.0),AUS.NETCD_T.CABXEF.USD.Q,OBS_VALUE,6,,,true,-11258118824.9315,-12873690400.15576,-14182209222.32786,-5329686203.831994,-5335704599.956513,-8465284013.996335,-12930666814.08363,-13057225117.92417,-8771834711.660748,-10178753380.56017,-11023524817.97133,-6594399670.866499,-2388289298.456135,2007901166.957415,583304073.687191,-490670776.402696,3326810541.603748,10445923284.79838,2950315745.337332,8175925456.3291,11105440254.42651,17764679566.68388,10043665825.90909,2058689606.994805,-1233392818.977339,11451837086.11335,-8512330843.070675,4648665215.395511,2065403010.942742,2502675541.477685,-10702335170.69062,2073267089.979092,-5104788956.643244,-7445517248.448284,-14817219109.15167,-7388349580.887238,-7875877584.839525,-6766605579.858043
IMF.STA:BOP(21.0.0),JPN.NNAFANIL_T.TCAKAFA.USD.Q,OBS_VALUE,6,,,true,-31387502692.55842,-22006584713.30486,-49244968416.02013,23018258074.11566,16844505001.52443,2363614353.33542,26751824530.09558,10554937394.12799,-8103661125.85577,4915110006.6902,22687964480.71639,-3253661581.83069,-15924369613.81239,-6998810412.67321,-18628593455.52625,11981158358.2647,11917922418.99176,221850339.674079,1001124531.86147,13681632351.51259,29670371715.3694,14307715131.05598,38295925921.0357,19813759369.16452,-863918112.95166,18486173051.43399,-7465072744.83254,-24063226889.66919,-33903128468.57435,10527129098.70006,11740203113.95376,21219486187.99155,8338094938.95826,-43198582473.19966,-23073123296.40538,13811506355.53326,,
IMF.STA:BOP(21.0.0),JPN.NETCD_T.CABXEF.USD.Q,OBS_VALUE,6,,,true,52707266903.49917,45288257354.00636,60026322490.66525,39027545784.01106,56097453215.7308,43229422330.34204,65337157102.44039,38504694433.88219,55393027044.19417,46073005909.03173,52147731890.04448,23654770433.1545,53322616083.1437,39943849291.73843,51104857075.45864,32238675169.3553,48634345649.85208,8299250959.11477,46140002867.01918,46955326804.74505,58886929132.59961,50643425131.3012,55275682942.25066,31719030262.69041,42101176904.26956,17739355877.34974,16116776451.61383,14252595707.68134,19229562260.90839,41577315606.75214,56897038190.89039,38888048265.87747,43657517861.32966,44296432000.08239,59690318479.97221,46612724288.18128,,
IMF.STA:BOP(21.0.0),JPN.NNAFANIL_T.FABXRRI.USD.Q,OBS_VALUE,6,,,true,79230547067.03348,67328796012.1861,108427410023.0598,15103709018.12571,38663098943.49604,39647992878.52138,38402066688.06524,27441694042.68605,62642267509.85538,40558758400.49721,29255011412.14002,26644236204.02215,68821780262.83233,46080860509.2343,67882982207.9903,19586328729.19376,35851437300.68351,7876838541.328629,44601894499.43259,32943704062.5986,28309853651.99213,36017958715.0455,15123918833.87802,11129299582.32508,42590295699.6932,-542449972.6835569,23246711624.11101,37956208315.72682,52362551807.04236,30341700077.9933,44258903731.35223,17251484644.28385,35013847070.91969,87010860905.38619,82292296446.17814,32607139789.87542,,
IMF.STA:BOP(21.0.0),G163.NETCD_T.CABXEF.USD.Q,OBS_VALUE,6,,,true,68253272206.4484,97961169615.38608,116187458636.3649,120897980156.25,81832837929.2291,35350840443.54874,154518467315.3856,165616961499.9978,103048721214.2869,85702718461.90649,116773920886.15,105662837950.0001,92718700571.4263,26104674700,135490184393.9364,70064326137.49992,7334900556.24991,25039520941.93532,90986832665.15095,125207815421.5426,104761798073.5507,101764485328.4851,123277603289.7244,81397178875.11823,21723368531.00295,-41319933971.69598,-32141078916.63024,32729502797.94364,23848370815.87186,25097344947.62176,90703966672.31869,124632904091.4077,104759868551.9745,102013975859.045,116095144200.7866,107943667504.8625,68149568017.8591,
IMF.STA:BOP(21.0.0),G163.NNAFANIL_T.FABXRRI.USD.Q,OBS_VALUE,6,,,true,41593128171.62724,88740690100.04283,135364537611.7271,88157384889.75904,75304450053.8224,56297660229.07136,112105291579.6225,120426970515.9058,118658608851.8966,88892318793.77108,103454175148.9075,11916329940.32425,116828677382.4643,-20455210003.39938,97084670027.17723,33379682359.31765,-32700843939.70294,-2198420154.838697,122070503501.5146,132644344430.7736,125674946653.9996,119399060768.529,105469268249.809,58376914451.54456,7655332093.45625,27933336277.17843,-17198467248.94232,23075282145.36248,69490635075.88911,64861011287.70697,80841027131.1644,135169647347.7809,113445046432.1776,130412851096.2522,171173271816.5706,89158166662.91251,59070603155.79532,
IMF.STA:BOP(21.0.0),G163.NNAFANIL_T.TCAKAFA.USD.Q,OBS_VALUE,6,,,true,24775729550.95028,8879450429.1894,-18438987346.5743,34179908313.36596,-1442681890.74697,-32832196662.94208,38057730412.6861,46605208612.6634,-10631569780.4668,480190334.80215,16228162484.9347,41418451947.17584,-30096628011.03785,29670673703.39938,35175321624.33497,34400683584.43227,39459052825.64035,23569134716.12888,-30170751653.03032,-1412391778.4616,-13013108528.9157,-5211642807.0666,37187407272.9066,38972063373.57577,23600048563.65607,42153115365.07999,-2334589831.04254,33266065023.20615,-43554471120.22024,-34747104123.57698,22693530493.3394,14184430714.5956,-23103515755.0126,-26785110488.5976,-50070512577.3292,31693782308.82499,14779960550.95283,
IMF.STA:BOP(21.0.0),GBR.NNAFANIL_T.TCAKAFA.USD.Q,OBS_VALUE,6,,,true,-2308929435.18271,-17618891185.06785,20066918228.58153,16131360135.99344,21539501473.57489,-8664638786.17818,-8707013282.01069,-285336590.88057,-11796943754.50313,19427511040.33093,-13053356980.04914,36461751675.42158,46880978.21186,6928558601.04237,-4601902223.55608,16952801181.61489,7211434092.31832,-10307346797.06721,-12406028235.51868,23799149709.22529,-5992037277.147477,-10877091946.7835,18383003868.35507,21393709732.87541,-9300611982.22131,4612756930.07135,6864018453.493908,4268382855.105048,-7515412745.52311,-15739489950.31194,-9219960646.44637,17423663187.79508,-19526512444.41458,-20381634351.13838,17335168583.62487,-3956521547.38596,-5773594045.09894,
