Commitments of Traders Historical Report for "AUD"
,,Non-Commercial Positions,,Commercial Positions,,Non-Reportable Positions,,Dealer Positions,,Asset Manager Positions,,Leveraged Funds Positions,,
Date,Open Interest,Long,Short,Long,Short,Long,Short,Long,Short,Long,Short,Long,Short,
"Jun 24, 2025","151032","23249","95811","97992","27517","22820","20733","52870","688","41437","78387","18889","41192"
"Jun 17, 2025","147471","21194","90584","94487","29107","25046","21036","47890","8283","43330","75400","17911","33211"
"Jun 10, 2025","224272","23997","93941","153541","89771","26785","20611","86389","42993","39089","72549","19030","41339"
"Jun 03, 2025","202595","23969","87124","130735","69540","23307","21347","81757","38456","39435","71431","17018","36173"
"May 27, 2025","179292","21572","82752","119718","63303","23517","18752","78036","36213","37251","68908","18161","34117"
"May 20, 2025","177853","20997","80074","121279","61743","20781","21240","79404","38195","35603","70038","20400","27084"
"May 13, 2025","180460","25507","74853","119964","69081","21268","22805","76445","44403","38862","66357","23738","30110"
"May 06, 2025","183057","26243","74615","121539","71826","22896","24237","73758","48838","45295","57240","20750","36601"
"Apr 29, 2025","184804","26602","76545","123079","74276","22967","21827","74149","52281","47085","55470","20451","38025"
"Apr 22, 2025","190798","27175","81757","125583","75153","24156","20004","72708","52889","50444","55466","21486","44131"
"Apr 15, 2025","178747","19740","78588","123729","59997","21897","26781","73286","35406","49846","61799","12595","36909"
"Apr 08, 2025","194476","28493","91793","127546","57341","25334","32239","76819","30029","52915","68529","17464","46905"
"Apr 01, 2025","182766","26211","102074","119373","40221","24740","28029","72368","7723","44842","80279","16740","49859"
"Mar 25, 2025","180087","28124","105570","119381","37052","23317","28200","76652","7079","46220","84352","15664","46904"
"Mar 18, 2025","180546","27628","98077","117162","46203","26057","26567","75018","12160","47965","84580","13309","43229"
"Mar 11, 2025","258738","52171","100397","163521","108120","32037","39212","61796","11722","53583","91965","18600","42390"
"Mar 04, 2025","202272","55151","103384","111644","54615","24680","33476","70486","7266","56080","101450","16843","45216"
"Feb 25, 2025","185971","50873","96453","105108","52776","24241","30993","66682","8075","53834","91123","17142","47694"
"Feb 18, 2025","189686","46918","103641","110010","49657","25863","29493","69238","13291","57810","88894","15678","49025"
"Feb 11, 2025","196295","40368","105953","123991","53547","26941","31800","78023","14027","60547","89614","11077","53572"
"Feb 04, 2025","204869","35330","110639","139494","55993","22568","30760","92424","11428","54124","99681","13048","51597"
"Jan 28, 2025","192011","32196","104027","129574","50573","23866","31036","90691","10129","45578","87983","9389","53670"
"Jan 21, 2025","190211","31179","102475","127375","47576","24195","32698","88124","13032","43528","86074","10834","47493"
"Jan 14, 2025","192020","26135","103766","134239","46942","23314","32980","88369","12420","48166","86524","9209","48248"
"Jan 07, 2025","197764","33116","106549","133477","50470","23643","33217","88021","15302","45198","88044","15484","49272"
"Dec 31, 2024","182872","35248","106659","116636","38137","24327","31415","86785","1517","27714","84560","18045","51275"
"Dec 24, 2024","177789","31414","99584","117514","39314","23162","33192","88468","1403","26322","84629","17948","45552"
"Dec 17, 2024","172661","32929","94460","111276","40177","21997","31565","87191","1212","25759","87278","18786","40905"
"Dec 10, 2024","239026","88751","80266","111884","112619","26561","34311","49561","36541","47112","81885","27751","32138"
"Dec 03, 2024","190247","86699","65298","71206","93492","25601","24716","44802","52146","50414","71557","23360","29750"
"Nov 26, 2024","185533","88694","56918","67173","94631","23426","27744","38771","53198","52131","64837","30228","28755"
"Nov 19, 2024","181688","86703","55105","64987","92093","24189","28681","39646","49358","48831","67756","30460","27547"
"Nov 12, 2024","171880","83555","53760","59537","92171","26542","23703","36733","55258","48700","61741","26371","26686"
"Nov 05, 2024","177416","91488","60512","59108","90867","25478","24695","33405","56078","51080","66676","38875","26727"
"Oct 29, 2024","183977","93677","66161","57807","95665","30644","20302","32789","60279","49541","73643","45465","26404"
"Oct 22, 2024","186950","102509","74830","51835","93365","31126","17275","25439","62140","64402","77165","42698","26821"
"Oct 15, 2024","193289","99051","79782","56412","94490","34998","16189","25434","64511","73252","83356","36287","24273"
"Oct 08, 2024","205706","111561","78139","59057","109310","32659","15828","25920","84331","84877","78524","43739","21162"
"Oct 01, 2024","201032","101462","86934","61915","95766","36153","16830","26342","67587","77133","86924","42087","25376"
"Sep 24, 2024","176442","81924","93172","58488","63132","35139","19247","26865","36376","68866","85769","29593","30965"
"Sep 17, 2024","169684","53941","94063","85069","53091","27547","19403","58354","21565","56673","90816","13517","30632"
"Sep 10, 2024","230013","74259","88301","114426","111806","30094","18672","57119","54705","77168","89205","16291","24893"
"Sep 03, 2024","213538","87118","94982","87254","94066","31865","17189","56612","59106","80857","88522","19335","36594"
"Aug 27, 2024","204850","81486","100645","87629","80407","31461","19524","57715","43292","76568","94708","18432","38580"
"Aug 20, 2024","187360","70554","109439","89429","51063","25338","24819","63960","10620","61418","101363","16862","43949"
"Aug 13, 2024","188298","65028","107644","94084","45603","24636","30501","72393","7824","57592","105713","13482","36250"
"Aug 06, 2024","192634","68193","108392","97019","52276","22601","27145","75379","10832","56700","111315","19305","35812"
"Jul 30, 2024","205852","79236","110606","94451","61621","27269","28729","69527","18241","60404","113532","28758","38377"
"Jul 23, 2024","226258","96973","105787","90711","94754","33944","21087","65891","55639","71123","104405","36280","38343"
"Jul 16, 2024","229593","106312","95199","84403","112286","34164","17394","63929","65130","79209","100239","34561","36636"
"Jul 09, 2024","225017","98997","96584","89192","101324","30274","20555","63011","57075","75851","98517","37541","38456"
"Jul 02, 2024","197799","77951","93787","88004","76711","26736","22193","63466","37592","61035","97302","32866","31417"
"Jun 25, 2024","181071","64620","88296","82549","63206","27370","23037","62236","18180","51395","100592","25149","28558"
"Jun 18, 2024","174695","55699","97355","86558","50174","26006","20734","66293","3924","46717","110054","21338","32104"
"Jun 11, 2024","212796","45540","110325","125453","63410","27553","24811","87941","5665","42993","117120","15634","32880"
"Jun 04, 2024","199796","51661","102964","117000","70077","26878","22498","82030","10586","43652","114309","18462","29833"
"May 28, 2024","193678","53892","103808","112209","62849","24416","23860","82877","13127","49202","113755","19457","32368"
"May 21, 2024","196609","50536","106769","115463","63870","28387","23747","84401","12348","49537","113706","18846","38355"
"May 14, 2024","201798","40059","117230","131596","54454","25881","25852","106032","9800","42585","115564","11293","41456"
"May 07, 2024","209670","49480","113996","135023","62501","19859","27865","114859","11583","45316","115118","11654","44801"
"Apr 30, 2024","224573","41293","124528","157629","65235","20613","29772","135189","10239","39197","128405","14099","47310"
"Apr 23, 2024","239278","43429","139668","174015","59139","16289","34926","148435","7254","36247","137063","22038","50406"
"Apr 16, 2024","234919","42365","143448","169334","52990","18142","33403","140993","4217","30826","134025","29853","54428"
"Apr 09, 2024","208938","30556","122897","151421","49811","21567","30836","127200","4003","33149","123031","12321","42832"
"Apr 02, 2024","224894","34557","137242","164790","50704","20421","31822","135609","3222","33910","137365","19318","43331"
"Mar 26, 2024","218982","34438","139890","162079","44539","17786","29874","137548","1241","33102","132677","16824","47922"
"Mar 19, 2024","220921","38207","145745","158919","42857","19035","27559","134947","542","30963","131985","24478","55271"
