Commitments of Traders Historical Report for "CAD"
,,Non-Commercial Positions,,Commercial Positions,,Non-Reportable Positions,,Dealer Positions,,Asset Manager Positions,,Leveraged Funds Positions,,
Date,Open Interest,Long,Short,Long,Short,Long,Short,Long,Short,Long,Short,Long,Short,
"Jun 24, 2025","201194","25267","78434","135776","85346","27452","24715","82380","36258","46682","72459","15736","47453"
"Jun 17, 2025","294801","28154","94487","225119","163264","28113","23635","162309","100912","47979","79810","19310","56275"
"Jun 10, 2025","288477","19651","112794","223285","132078","27489","25553","158972","64115","40588","97181","16625","56327"
"Jun 03, 2025","270041","18667","127113","214704","104079","23967","26146","164104","49692","38157","103352","15552","62849"
"May 27, 2025","263232","20418","124316","212692","107690","25181","26285","162862","51585","36925","105383","16678","62383"
"May 20, 2025","266748","22629","126490","216736","103754","22213","31334","167788","42859","34175","116443","19646","59860"
"May 13, 2025","262803","23250","105406","212802","120907","21276","31015","163355","59573","36038","104102","21114","56458"
"May 06, 2025","255101","16677","87322","209571","133102","24048","29872","157629","76023","39126","94182","12831","44974"
"Apr 29, 2025","249257","16046","83251","208156","132834","22693","30810","156444","75155","37759","91999","11464","43678"
"Apr 22, 2025","249643","18357","85524","205325","132152","23821","29827","156111","67544","36040","93261","11449","50568"
"Apr 15, 2025","249484","18265","102125","206811","116668","22676","28959","158622","41073","34698","108078","12380","63629"
"Apr 08, 2025","258263","16029","135270","218923","89463","20529","30748","174083","18369","33043","128649","9354","72188"
"Apr 01, 2025","278330","17606","147622","233760","90442","23892","37194","176291","9860","31590","153784","19122","68543"
"Mar 25, 2025","281126","17948","147482","234774","94578","24617","35279","178591","5898","32203","161425","17877","67999"
"Mar 18, 2025","347932","18089","154671","300798","153639","24334","34911","211949","20801","31120","169724","10823","74345"
"Mar 11, 2025","339922","19197","161607","276951","120803","26850","40588","220845","16970","30511","177603","6946","70407"
"Mar 04, 2025","340218","22175","165945","270391","115411","24406","35616","224852","17619","31569","178722","10601","75181"
"Feb 25, 2025","319493","20523","158429","261075","118254","27768","32683","213044","19094","36149","174505","8701","75578"
"Feb 18, 2025","323195","21276","165919","266233","115021","26645","33214","217615","15735","37853","173314","6968","85062"
"Feb 11, 2025","326849","17911","168745","275360","112763","25075","36838","228531","13506","34871","173754","5683","87330"
"Feb 04, 2025","346984","20421","180865","293323","122481","25707","36105","246568","15650","34620","184732","5300","96118"
"Jan 28, 2025","331109","21219","168820","276259","113289","26467","41836","228840","12867","33248","172952","5869","89815"
"Jan 21, 2025","331635","19503","170290","278535","115457","27246","39537","231799","16395","33303","166181","3350","95722"
"Jan 14, 2025","350363","23031","190184","292957","111476","27533","41861","248173","14987","30100","185148","6876","94932"
"Jan 07, 2025","357210","19114","197703","303241","110774","27806","41684","260359","13069","28378","188673","5550","100129"
"Dec 31, 2024","353686","20884","196592","299876","110756","26886","40298","254303","9994","26848","189077","9682","94539"
"Dec 24, 2024","345942","13502","190222","299476","111079","27426","39103","254742","11188","26845","186409","7772","91884"
"Dec 17, 2024","485592","19170","201225","430972","235515","28710","42112","262725","18354","26356","182847","15303","89196"
"Dec 10, 2024","408181","29034","210588","333506","137570","30191","44573","254413","12547","28718","172283","18975","98423"
"Dec 03, 2024","324325","21696","181042","261571","96066","31609","37768","219085","14879","27157","153837","10071","83901"
"Nov 26, 2024","322420","21281","175283","259420","100850","31209","35777","215268","14541","28512","150241","7063","84289"
"Nov 19, 2024","348354","23904","207470","285755","95079","30046","37156","242239","13678","28064","170882","10857","96560"
"Nov 12, 2024","342557","22011","204400","283278","91946","28728","37671","242733","9422","27961","171213","7940","98579"
"Nov 05, 2024","336467","26816","202045","272938","92020","28368","34057","229582","11684","27929","166535","16729","105031"
"Oct 29, 2024","329945","27399","194898","266311","92045","28068","34835","219580","10320","28292","164403","20358","101169"
