Commitments of Traders Historical Report for "CHF"
,,Non-Commercial Positions,,Commercial Positions,,Non-Reportable Positions,,Dealer Positions,,Asset Manager Positions,,Leveraged Funds Positions,,
Date,Open Interest,Long,Short,Long,Short,Long,Short,Long,Short,Long,Short,Long,Short,
"Jun 24, 2025","69488","8184","29128","45702","24934","15449","15273","38483","3692","6299","43086","6664","5441"
"Jun 17, 2025","67383","7857","27913","43793","24627","15712","14822","38360","4019","6088","41945","4922","4740"
"Jun 10, 2025","86928","9240","30508","54331","34489","16806","15380","42948","11067","5955","42734","8660","4172"
"Jun 03, 2025","81322","7145","33211","51879","25995","15409","15227","43269","9404","7379","38570","5857","7475"
"May 27, 2025","73781","5789","31272","52826","27372","14117","14088","44522","11649","7760","36784","4465","7433"
"May 20, 2025","73133","7632","31399","51871","26573","13558","15089","44080","11365","8432","35385","5321","8347"
"May 13, 2025","73088","7443","30512","51006","28007","14560","14490","42769","12810","8566","33576","5456","9861"
"May 06, 2025","70578","5558","29132","52272","27840","12634","13492","45014","12408","7230","32493","3986","9707"
"Apr 29, 2025","71949","5567","29881","53620","28356","12562","13512","44936","12816","9004","31498","3637","11519"
"Apr 22, 2025","72891","5322","30796","54226","27484","13198","14466","45172","10233","9846","33565","3031","12129"
"Apr 15, 2025","73479","5280","33864","55617","23877","12419","15575","46375","5277","10472","34302","2666","16542"
"Apr 08, 2025","76433","4348","34625","60872","23072","10659","18182","53912","4697","8959","35918","1788","15995"
"Apr 01, 2025","89248","4143","46907","74797","25028","10177","17182","67624","783","8677","45111","2573","25475"
"Mar 25, 2025","85731","4178","41771","70830","24728","10519","19028","63279","759","8512","40372","3172","24322"
"Mar 18, 2025","80057","4087","38462","65157","22132","10615","19265","56629","595","8870","38825","3701","20630"
"Mar 11, 2025","100493","5129","42086","79595","37354","13232","18516","62679","4120","8563","41867","3870","20611"
"Mar 04, 2025","97021","5572","43347","78617","30546","11964","22260","67935","3835","10931","46743","4488","19584"
