Commitments of Traders Historical Report for "EUR"
,,Non-Commercial Positions,,Commercial Positions,,Non-Reportable Positions,,Dealer Positions,,Asset Manager Positions,,Leveraged Funds Positions,,
Date,Open Interest,Long,Short,Long,Short,Long,Short,Long,Short,Long,Short,Long,Short,
"Jun 24, 2025","762607","223791","112656","417363","581664","94870","41704","31477","458976","458163","120432","88638","67545"
"Jun 17, 2025","755861","220811","119258","414729","575750","97815","38347","28746","453210","456662","123584","88119","72690"
"Jun 10, 2025","810517","208754","115729","449157","600413","102489","44258","32680","439359","441522","121178","84861","72885"
"Jun 03, 2025","781284","202786","120022","437677","575962","100625","45104","48503","438220","444511","124440","74113","76024"
"May 27, 2025","760471","204326","124852","427966","559867","95278","42851","49826","424525","441156","127173","76556","77460"
"May 20, 2025","759249","206042","131589","423456","550286","94072","41695","47230","421491","435558","125222","83874","76941"
"May 13, 2025","750906","209549","124775","406660","540942","94529","45021","34250","423571","432043","120966","86340","66187"
"May 06, 2025","737013","194192","118473","405535","536874","97040","41420","33157","415185","427317","120387","73085","67340"
"Apr 29, 2025","730212","196388","120591","401746","533257","97376","41662","33550","410302","421978","120302","79893","62578"
"Apr 22, 2025","719232","196205","131177","401257","519198","96353","43440","33861","403364","419532","123255","81269","66559"
"Apr 15, 2025","708122","197103","127823","394996","512911","92871","44236","29171","393749","419169","129399","80754","58948"
"Apr 08, 2025","697776","190296","130316","401858","492274","80668","50232","31861","371975","412595","129438","85855","52777"
"Apr 01, 2025","670827","183247","131412","379419","462291","80132","49095","24218","340593","384138","127920","91315","58425"
"Mar 25, 2025","672875","189796","124271","375753","476069","81743","46952","22135","351464","389514","125991","89643","63267"
"Mar 18, 2025","652620","188952","129527","359417","451777","82523","49588","16659","329538","380024","121536","87050","73191"
"Mar 11, 2025","729760","188647","175557","394505","442352","100166","65409","28370","291663","375109","135878","90093","96012"
"Mar 04, 2025","683819","185223","195329","376930","396189","83321","53956","22785","255957","366028","154304","94173","102395"
"Feb 25, 2025","658684","182699","208124","362477","363117","78634","52569","20386","230729","356354","165177","93762","99058"
"Feb 18, 2025","638024","170320","221740","361239","335044","75697","50472","19976","200260","346446","173913","89424","100651"
