Commitments of Traders Historical Report for "GBP"
,,Non-Commercial Positions,,Commercial Positions,,Non-Reportable Positions,,Dealer Positions,,Asset Manager Positions,,Leveraged Funds Positions,,
Date,Open Interest,Long,Short,Long,Short,Long,Short,Long,Short,Long,Short,Long,Short,
"Jun 24, 2025","179898","99848","65453","43166","87201","35906","26266","9361","42599","64941","78243","63501","21817"
"Jun 17, 2025","177026","106282","63425","35707","87770","33837","24631","5070","41822","65765","73198","64649","28801"
"Jun 10, 2025","213940","111076","59442","60665","121227","36199","27271","15792","68088","71989","67679","65686","24156"
"Jun 03, 2025","233601","103672","68457","74588","123553","36963","23213","8546","62038","69092","67713","73098","33699"
"May 27, 2025","202990","102391","67012","59033","105900","36723","25235","9410","55431","70144","71584","71735","33001"
"May 20, 2025","195326","88144","64151","57675","91492","33168","23344","10745","43147","62059","68259","64799","32603"
"May 13, 2025","194861","89540","62324","55836","87895","32765","27922","12208","40898","60216","65962","65307","32921"
"May 06, 2025","200214","94384","65149","57797","92533","31693","26192","13850","44929","64716","66634","66229","35698"
"Apr 29, 2025","192312","91064","67105","55263","84986","31474","25710","10789","40109","65506","66452","62771","35223"
"Apr 22, 2025","179555","94021","73531","54477","79916","29322","24373","10584","34346","63181","68293","67488","37721"
"Apr 15, 2025","177006","85708","79199","61721","71210","28689","25709","16658","23966","54252","71852","70443","36385"
"Apr 08, 2025","176910","91733","74423","59719","75514","24131","25646","21438","26712","49561","68394","72555","28147"
"Apr 01, 2025","187160","104986","70360","50320","89110","30248","26084","12126","35550","59493","74408","76484","28234"
"Mar 25, 2025","191212","109016","64733","48843","99525","32226","25827","10710","45978","67411","72801","71377","30671"
"Mar 18, 2025","180841","95941","66539","48822","87566","33403","24061","8710","32560","60369","73497","67268","35312"
"Mar 11, 2025","248457","94786","65593","92023","124384","41071","37903","37619","51811","51007","76459","61074","33141"
"Mar 04, 2025","200634","81866","63292","81410","95120","27706","32570","42892","33301","41378","86017","62241","28491"
"Feb 25, 2025","200468","74089","69626","95277","89091","24992","35641","56707","26496","43185","90483","60643","28575"
"Feb 18, 2025","203370","73564","74143","100001","89204","24129","34347","58645","24582","40426","96902","63543","28739"
"Feb 11, 2025","208138","69087","72255","105189","88709","24316","37628","73569","25186","32211","100276","58540","26918"
"Feb 04, 2025","204644","65442","76765","111619","86590","22951","36657","78492","21927","34621","99697","56170","33271"
"Jan 28, 2025","206821","59331","81003","121421","82067","21081","38763","88834","19266","33544","103154","52427","32499"
"Jan 21, 2025","212688","75696","83953","111968","83219","21903","42395","72459","20685","43354","107685","63658","30610"
"Jan 14, 2025","200826","80557","80119","94313","79328","21817","37240","53090","14732","47966","103195","67791","32917"
"Jan 07, 2025","188770","81343","66837","78373","84096","25328","34111","42238","18677","39627","97709","72934","25621"
"Dec 31, 2024","188879","86202","65367","74237","88489","24856","31439","36734","21386","37075","92001","78757","29649"
"Dec 24, 2024","188844","84558","65235","76000","88844","25928","32407","38631","20167","35229","96873","79351","26677"
"Dec 17, 2024","187135","88265","66618","71728","87986","24964","30353","36248","23471","37375","95417","80780","26239"
"Dec 10, 2024","311725","102763","75638","162912","184816","26568","31789","53635","56194","52093","94431","73060","31598"
"Dec 03, 2024","243504","98056","78730","114068","123063","23219","33550","68344","50037","40773","108092","73882","21642"
"Nov 26, 2024","239062","98459","76825","108932","121718","22563","31411","63434","48711","38580","106042","77371","21429"
"Nov 19, 2024","220896","101713","61398","80547","119613","28148","29397","40260","49241","44662","87842","75875","25164"
"Nov 12, 2024","212345","119992","63942","54642","113790","29405","26307","14033","51308","61427","79797","79544","31007"
"Nov 05, 2024","219857","120737","75653","56459","112019","35517","25041","10860","51044","70307","85873","77495","35216"
"Oct 29, 2024","221535","132636","66280","48596","122897","32508","24563","12007","59634","69565","88493","82549","25828"
"Oct 22, 2024","230130","140603","66027","50886","131948","31925","25439","11140","69060","82150","89479","81133","25283"
"Oct 15, 2024","250150","151923","66121","54936","154384","37756","24110","7197","92114","95635","86045","86670","27892"
"Oct 08, 2024","255908","157666","64531","54329","162337","38166","23293","5606","99331","95244","83352","96094","30234"
"Oct 01, 2024","257312","161469","67704","51360","162795","41576","23906","6089","100829","93765","81178","98373","35033"
"Sep 24, 2024","251641","155325","68333","52374","156757","40935","23544","6622","97720","88060","75894","100193","38500"
"Sep 17, 2024","212595","124822","61843","47645","127396","37880","21108","7600","67492","73052","72500","82612","36953"
"Sep 10, 2024","272336","142072","51784","69944","177222","42246","25256","14985","101280","84328","68320","91103","34479"
"Sep 03, 2024","285461","160773","52695","69973","190928","39617","26740","15458","116966","92234","67588","101930","36587"
"Aug 27, 2024","274215","152163","62232","65042","170287","41570","26256","14658","98513","88048","72661","96550","41947"
"Aug 20, 2024","231383","125634","58123","55248","135203","37610","25166","15547","59970","68865","77300","83572","39807"
"Aug 13, 2024","205569","102603","54791","57134","115474","36458","25930","23872","37489","49076","88381","77421","31908"
"Aug 06, 2024","224042","126080","51681","58800","139880","33006","26325","26242","49413","57943","95822","90924","33436"
"Jul 30, 2024","268554","165635","54164","59012","182171","37321","25633","22705","90668","80797","93231","108579","36908"
"Jul 23, 2024","289241","188489","46306","57005","211274","37509","25423","19291","115005","93739","90184","118233","35065"
"Jul 16, 2024","280623","183287","50385","50803","199921","40067","23851","17456","105047","94873","90704","108801","39140"
"Jul 09, 2024","224179","135316","50626","46249","140835","34670","24774","16501","49720","65951","94627","88548","34320"
"Jul 02, 2024","198119","106753","44712","52797","117856","30408","27390","25507","29525","43966","91800","79931","29649"
"Jun 25, 2024","207697","102547","58499","69497","114523","28209","27231","38997","27936","52784","100796","71065","32385"
"Jun 18, 2024","207303","105920","58299","64996","113756","29039","27900","32686","31538","57173","95719","69585","30619"
"Jun 11, 2024","275487","110300","58179","118817","175251","32264","27951","69679","79036","70550","82174","62078","43804"
