Commitments of Traders Historical Report for "JPY"
,,Non-Commercial Positions,,Commercial Positions,,Non-Reportable Positions,,Dealer Positions,,Asset Manager Positions,,Leveraged Funds Positions,,
Date,Open Interest,Long,Short,Long,Short,Long,Short,Long,Short,Long,Short,Long,Short,
"Jun 24, 2025","314767","178403","46126","92034","239744","40462","25029","5506","221813","116393","24632","48739","28981"
"Jun 17, 2025","317523","175601","44724","94915","243088","43251","25955","7244","224439","119461","26366","45713","27930"
"Jun 10, 2025","388263","184195","39600","132044","301121","54124","29642","11486","244029","131187","21235","44731","24112"
"Jun 03, 2025","366008","189514","38365","100151","275659","44497","20138","13257","250144","130723","21167","49497","23347"
"May 27, 2025","377011","191802","27790","101750","285448","41934","22248","11894","256512","127979","13817","49246","25171"
"May 20, 2025","366865","194510","27180","102102","283123","38497","24806","10501","259716","124230","13308","55915","17418"
"May 13, 2025","359521","194226","21958","101140","286031","40015","27392","11512","257899","124096","14755","55015","19972"
"May 06, 2025","375546","204008","27149","105878","306490","44435","20682","15495","277678","134156","8481","54358","29708"
"Apr 29, 2025","366246","202797","23585","104910","306807","44388","21703","10758","277672","137808","10533","50238","30627"
"Apr 22, 2025","351226","202373","24559","100299","301221","44643","21535","8474","269048","135299","15316","50802","31359"
"Apr 15, 2025","338849","198560","26705","96118","286463","42198","23708","7590","255341","130058","15150","51122","33022"
"Apr 08, 2025","320758","176555","29488","99659","261328","39600","24998","5632","233795","115727","12797","52436","33203"
"Apr 01, 2025","311162","161566","39792","96971","235518","48102","31329","4942","200763","99685","23036","48928","37665"
"Mar 25, 2025","303778","160474","35098","92999","228739","44965","34601","5335","190362","99454","19587","41782","41473"
"Mar 18, 2025","296567","164752","41788","80456","217232","46056","32244","1791","180917","100447","20250","40348","46181"
"Mar 11, 2025","446178","176790","42888","178522","327791","59045","43678","13116","202317","111825","27286","46055","45638"
"Mar 04, 2025","354415","183955","50304","102081","248000","45054","32786","9567","196332","115992","32223","47578","45028"
"Feb 25, 2025","329186","171751","75771","93060","202005","45737","32772","10456","165651","109396","37634","47598","59318"
"Feb 18, 2025","281163","147566","86997","84001","154194","43985","34361","13311","110416","87890","48966","43974","67824"
"Feb 11, 2025","273314","144158","89543","73890","142044","49809","36270","9892","100568","86253","48939","35523","66542"
"Feb 04, 2025","231911","104684","85916","70418","101101","49277","37362","8671","61195","62742","49047","33050","62138"
"Jan 28, 2025","216788","96809","97768","68683","75420","44173","36477","11429","38639","58289","60102","24923","59098"
"Jan 21, 2025","211620","94157","108830","68868","60039","43642","37798","17792","24265","50196","63403","27591","67227"
"Jan 14, 2025","223952","91434","120845","88113","57090","40268","41880","39297","15437","52052","72161","25130","77511"
"Jan 07, 2025","212456","91206","111395","76577","56293","38992","39087","26016","16670","53082","62661","24057","77219"
"Dec 31, 2024","206971","96119","104562","71016","61414","35222","36381","18594","17912","53727","62257","31671","73989"
"Dec 24, 2024","200720","95958","93647","68898","65215","34105","40099","17148","19419","51863","61797","31241","68682"
"Dec 17, 2024","181673","87208","81247","57107","60208","34688","37548","4548","19866","46402","52132","22969","60105"
"Dec 10, 2024","274834","97938","72186","117775","142373","36894","38048","35648","78740","50195","44923","30677","54242"
