Commitments of Traders Historical Report for "NZD"
,,Non-Commercial Positions,,Commercial Positions,,Non-Reportable Positions,,Dealer Positions,,Asset Manager Positions,,Leveraged Funds Positions,,
Date,Open Interest,Long,Short,Long,Short,Long,Short,Long,Short,Long,Short,Long,Short,
"Jun 24, 2025","44217","18619","15849","17004","20881","4355","3248","6783","9283","24231","12036","2403","14384"
"Jun 17, 2025","47833","14571","15844","24250","24110","4273","3140","14978","11098","17819","11946","3796","16056"
"Jun 10, 2025","78867","9312","30547","58294","37511","4562","4110","36330","12934","9642","26804","7691","14851"
"Jun 03, 2025","67925","9531","33205","51514","27913","4419","4346","36075","10375","10016","28423","7410","15644"
"May 27, 2025","59262","9093","33479","45071","20703","4226","4208","35792","9819","10677","29723","6918","13917"
"May 20, 2025","61056","9981","33633","46591","22331","3626","4234","37116","9071","10385","30273","7911","15778"
"May 13, 2025","60757","10207","32819","45320","23204","4303","3807","34682","11184","10720","30877","9774","13306"
"May 06, 2025","60509","10188","33323","45115","22285","4533","4228","33791","11893","12382","29388","7996","13444"
"Apr 29, 2025","63075","12170","33693","46070","24768","4201","3980","33952","11249","13512","29792","9431","16618"
"Apr 22, 2025","62689","9897","36792","48333","20884","3948","4502","37743","10430","10345","31037","8684","14983"
"Apr 15, 2025","66702","8761","41839","54047","19524","3353","4798","41553","9198","12238","33729","7524","16984"
"Apr 08, 2025","72109","7935","47087","61022","19730","2947","5087","47939","7088","10870","39734","8056","17994"
"Apr 01, 2025","81797","11164","56212","66892","19999","3613","5458","54277","4617","12291","51119","9101","19137"
"Mar 25, 2025","82270","13435","55002","64617","21752","4082","5380","53425","4725","11519","50889","11659","19996"
"Mar 18, 2025","84543","15954","56398","64529","22638","3794","5241","50025","5940","12918","49828","15555","20502"
"Mar 11, 2025","117627","16282","69213","94892","39566","3553","5948","57878","1688","12730","61287","13034","22944"
"Mar 04, 2025","99433","17843","73608","77550","18940","3282","6127","60056","2062","12487","64015","15333","24252"
"Feb 25, 2025","90322","13628","67337","72094","17050","3958","5293","54654","1764","13640","56153","9742","24477"
"Feb 18, 2025","89366","13048","65211","71887","18055","3718","5387","56150","1902","12527","56326","9359","23219"
"Feb 11, 2025","87118","11218","60554","71567","20169","4103","6165","54884","2713","13334","56649","7589","18965"
"Feb 04, 2025","83998","8327","57417","71989","20314","3459","6044","55434","2686","14061","50419","5628","22054"
"Jan 28, 2025","83969","7898","54929","72468","22817","3201","5821","58569","3405","12358","49074","5309","23244"
"Jan 21, 2025","90600","8938","60161","77776","23935","3551","6169","61158","2772","13484","53527","8488","22229"
"Jan 14, 2025","92053","10921","63010","77144","22500","3632","6187","62179","2542","12140","52919","10519","24626"
"Jan 07, 2025","92127","10439","65063","77759","20666","3278","5747","60162","1046","12299","52742","12991","26538"
"Dec 31, 2024","88125","12766","61081","71830","20318","3067","6264","58103","1019","10608","49860","13477","25256"
"Dec 24, 2024","84775","10244","56261","71001","21754","2990","6220","57342","1019","11429","48833","10339","23053"
"Dec 17, 2024","80998","9370","51877","68108","21785","2967","6783","53441","867","12597","45537","9402","22221"
"Dec 10, 2024","98096","19605","47812","69879","38032","3520","7160","46799","10413","12289","40824","14818","21363"
"Dec 03, 2024","80220","21213","44521","53338","27608","3446","5868","40784","10465","11695","38884","15614","17816"
"Nov 26, 2024","79001","21408","45789","53098","25211","3340","6846","40519","9694","10390","37112","17973","19154"
"Nov 19, 2024","72846","21762","40200","47092","25769","3323","6208","36175","9767","8600","33955","19557","17412"
"Nov 12, 2024","64216","22871","34531","37696","24684","3317","4669","27722","9615","8817","29872","20610","15579"
"Nov 05, 2024","59800","21855","30054","34368","24748","3501","4922","23239","9765","10536","29561","19437","11373"
"Oct 29, 2024","58020","26077","28244","27850","24243","3672","5112","12940","10043","16011","27886","22598","10421"
"Oct 22, 2024","55605","25821","26144","25148","25688","4577","3714","10442","12562","19600","25440","19070","9715"
"Oct 15, 2024","54894","25079","25371","24748","25870","4646","3232","10901","13808","22758","23392","15319","9830"
"Oct 08, 2024","57037","26287","25006","25088","28591","5417","3195","9150","18699","24068","21976","17186","8528"
"Oct 01, 2024","61226","29168","27198","25264","30677","6405","2962","9327","20551","24387","22261","18631","9892"
"Sep 24, 2024","55135","26475","27933","22853","23781","5792","3406","9452","13802","18866","22201","18919","9900"
"Sep 17, 2024","49301","20758","22648","22813","23075","5579","3427","10903","13226","16680","17885","14540","10397"
"Sep 10, 2024","63720","21394","24709","31511","31858","6929","3267","17887","16225","14821","19209","14506","12899"
"Sep 03, 2024","63566","25235","25473","30379","32535","6120","3726","18406","17525","14074","19915","17803","13457"
"Aug 27, 2024","65108","20648","28964","37932","30273","4943","4286","27560","17352","10521","19997","16297","15119"
"Aug 20, 2024","66846","18887","32656","42907","28907","4465","4696","33899","17188","8145","21901","16718","14985"
"Aug 13, 2024","66596","17050","32674","44973","28162","4240","5427","37841","15282","5629","25014","16800","14786"
"Aug 06, 2024","74141","19843","36594","50442","31302","3611","6000","42046","14629","3732","29485","23047","18642"
"Jul 30, 2024","76323","27299","38707","44955","30991","3547","6103","33291","14369","6230","33795","30805","16709"
"Jul 23, 2024","63589","30207","25693","28516","31802","3867","5095","17247","18149","10334","24707","28674","10548"
"Jul 16, 2024","60953","34473","21912","19484","31586","4648","5107","9247","20469","20330","20384","22370","9794"
"Jul 09, 2024","59513","41683","15771","11129","37957","4250","3334","2067","28114","28467","17196","20320","7649"
"Jul 02, 2024","62491","45185","14442","11035","41426","3855","4207","1601","29383","28826","17095","23825","8234"
"Jun 25, 2024","60495","43711","17069","10779","38346","4540","3615","1964","27692","30496","19544","20006","7443"
"Jun 18, 2024","58436","39430","19101","12566","35076","4935","2754","3638","23640","29210","21689","17867","8052"
"Jun 11, 2024","65785","33376","22398","24988","36692","4516","3790","5511","12179","23361","24973","16495","9831"
"Jun 04, 2024","54758","29791","22586","19065","26728","4058","3600","7348","9731","19508","23381","16457","11778"
"May 28, 2024","57525","26916","24870","25013","26792","3687","3954","13725","8821","14428","22427","19496","17160"
"May 21, 2024","49105","22599","23969","23061","20317","3258","4632","14713","8742","10296","21314","18264","13009"
"May 14, 2024","55640","19284","30484","32451","20289","3683","4645","22674","6859","6599","28555","20202","13237"
"May 07, 2024","55822","19060","30251","33531","19739","3124","5725","23515","6761","6001","28950","20999","12302"
"Apr 30, 2024","58811","21514","30065","33942","23335","3253","5309","24015","7408","7479","32011","21615","12541"
"Apr 23, 2024","58570","18254","30301","36823","22421","3433","5788","27285","6723","6627","32255","19368","12398"
"Apr 16, 2024","62857","18019","29745","41195","26625","3272","6116","30859","6886","6518","33435","19659","14498"
"Apr 09, 2024","56260","13726","27273","39515","23276","2862","5554","26717","6861","6912","32342","17764","9650"
"Apr 02, 2024","61732","19725","27253","38421","27726","3383","6550","27425","6912","6608","34423","22115","12211"
"Mar 26, 2024","53416","14680","20704","34584","26853","3767","5474","23027","6800","8387","29363","16030","10083"
"Mar 19, 2024","50301","19064","19253","26118","26125","4278","4082","16044","6657","13729","25657","13525","12142"
"Mar 12, 2024","52711","16391","13926","26408","30745","4700","2828","4963","6335","16258","20883","12169","8907"
"Mar 05, 2024","50123","21899","14671","21419","29205","4281","3723","5394","8259","16659","21414","16939","10377"
"Feb 27, 2024","48463","23942","13885","17474","29899","5020","2652","4757","13261","19500","17304","15138","12312"
"Feb 20, 2024","40950","19758","13132","14341","22140","4580","3407","4576","7401","10830","17396","16605","8601"
"Feb 13, 2024","41827","19632","16225","15668","20173","4819","3721","5226","5206","12356","20122","15788","9756"
"Feb 06, 2024","39305","16128","15298","17115","18085","4327","4187","6468","1757","10716","19182","14397","10891"
"Jan 30, 2024","36979","14114","15154","16682","16971","4588","3259","6964","1869","9274","19870","13843","9926"
"Jan 23, 2024","36633","13783","15526","16533","16207","4630","3213","6475","2945","11916","20333","11239","7870"
"Jan 16, 2024","38466","14592","17474","16203","16204","6094","3211","6085","5014","13616","18810","10285","9388"
"Jan 09, 2024","38539","16221","17988","15791","15993","5164","3195","5967","6705","13136","18384","11713","8475"
"Jan 02, 2024","39215","18043","18589","14360","16799","5649","2664","5457","6849","14230","18072","11596","9900"
"Dec 26, 2023","34911","14582","18249","13556","12414","5179","2654","5577","3621","11998","17600","9490","8906"
"Dec 19, 2023","33652","14562","17954","12976","11556","4827","2855","5639","1363","10249","19605","10335","7874"
"Dec 12, 2023","58308","13273","26761","34588","21479","4515","4136","27242","8993","9326","21405","8564","15864"
"Dec 05, 2023","54732","11796","28246","36358","21143","4902","3667","31397","7262","8014","25082","7929","16432"
"Nov 28, 2023","51460","10104","29713","36898","16690","3703","4302","33579","4297","3688","27566","8894","13455"
"Nov 21, 2023","48137","7958","24812","36279","18099","3124","4450","32220","5017","2789","26042","8110","10714"
"Nov 14, 2023","49906","8818","25852","36817","17647","3107","5243","32411","4570","2400","26325","10503","11693"
"Nov 07, 2023","51001","9399","24339","37432","20059","3047","5480","31984","4853","3787","27598","10681","11153"
"Oct 31, 2023","57676","14332","27149","39509","23273","2907","6326","32237","4301","4028","32102","16766","12032"
"Oct 24, 2023","57243","13448","26299","39718","23667","2942","6142","32439","5462","3994","29663","15706","12824"
"Oct 17, 2023","54135","16008","21907","33899","26237","3437","5200","26242","9829","5384","25854","16750","11321"
"Oct 10, 2023","54694","18672","22761","32069","25723","3104","5361","25703","12155","6831","22658","16820","12464"
"Oct 03, 2023","52291","15895","23545","33651","22934","2497","5564","27061","9311","6372","23919","14904","12524"
"Sep 26, 2023","50757","10632","25813","36867","18446","2340","5580","29343","3882","6400","27680","10650","11556"
"Sep 19, 2023","52588","7618","28890","41596","17295","2993","6022","34031","191","6582","34311","7880","10423"
"Sep 12, 2023","67487","14797","29417","42395","25138","3420","6057","28190","0","4776","33626","15845","12084"
"Sep 05, 2023","56462","16847","30847","34068","16777","2947","6238","27456","0","5688","33751","17246","12898"
"Aug 29, 2023","56617","20554","30930","30933","17636","2759","5680","26534","126","4648","33158","19948","13989"
"Aug 22, 2023","51035","21478","27991","26132","16917","3041","5743","21712","215","3821","31418","21443","12001"
"Aug 15, 2023","46781","21910","24346","21795","16826","2942","5475","17715","2137","3159","26928","21902","10823"
"Aug 08, 2023","40986","18758","19126","18874","17420","3306","4392","14147","4796","3447","21767","19072","8785"
"Aug 01, 2023","36091","15551","13965","16569","18502","3656","3309","11557","9628","4253","14456","15368","7501"
"Jul 25, 2023","36820","12933","13882","19664","19632","4080","3163","11128","11110","7921","12023","12867","8986"
"Jul 18, 2023","39402","13193","16819","20654","19716","5117","2429","11320","10093","8709","12028","12704","13581"
"Jul 11, 2023","34947","13297","14548","18666","16047","2656","4024","12450","4091","5449","13848","13329","11462"
"Jul 03, 2023","34057","13170","12340","18176","16665","2390","4731","12132","3759","5772","14568","12468","9267"
"Jun 27, 2023","34362","13207","14038","17713","16496","3293","3679","12344","3892","6469","14547","11448","11303"
"Jun 20, 2023","32401","10867","13526","18573","14132","2794","4576","13159","0","5891","17997","9463","8751"
"Jun 13, 2023","46496","15943","16774","24559","19705","2815","6838","13712","747","5506","20568","15149","8797"
"Jun 06, 2023","41665","16109","16812","18954","16098","3502","5655","13493","1547","6706","20188","14037","9876"
"May 30, 2023","39507","16081","16211","18608","17413","3670","4735","12403","1861","7110","20314","14335","10013"
"May 23, 2023","39011","16648","17011","17854","18410","4036","3117","9265","6301","9630","17673","15190","10877"
"May 16, 2023","36187","14610","16685","17789","15846","3695","3563","10438","3069","8450","20110","12999","8780"
"May 09, 2023","41583","17461","22042","20224","15941","3681","3383","10129","3850","9400","19233","17530","14249"
"May 02, 2023","38910","16027","17944","19705","16473","3029","4344","12172","1414","7999","21818","15242","10727"
"Apr 25, 2023","36603","13070","16322","19334","15406","3465","4141","11909","1712","7391","19748","12725","9562"
"Apr 18, 2023","33377","10876","14780","18474","14757","3757","3570","11185","4191","7626","16325","10109","8574"
"Apr 11, 2023","35806","13097","17578","17758","15187","4811","2901","10672","4649","7477","15630","11697","11968"
"Apr 04, 2023","36080","14280","18311","17050","14353","4501","3167","11700","4566","5516","15480","13202","12129"
"Mar 28, 2023","31981","9720","16330","18639","12086","3467","3410","12396","1357","5380","15446","9971","10859"
"Mar 21, 2023","32179","6765","15548","21576","12680","3392","3505","15157","156","5092","15503","7359","12078"
"Mar 14, 2023","35374","12185","16926","19909","14537","2996","3627","14000","0","5152","17543","12319","12829"
"Mar 07, 2023","48777","22415","16788","19119","22908","2940","4778","11436","4769","4597","17570","22450","14223"
"Feb 28, 2023","40006","21318","14208","14409","20584","3716","4651","9540","5189","4085","15294","21437","12923"
"Feb 21, 2023","29888","15561","6773","8965","17989","4026","3790","4484","5773","7379","8675","11651","9576"
"Feb 14, 2023","29900","14185","5182","8820","19086","5515","4252","3305","6684","8088","7973","11353","9091"
"Feb 07, 2023","31410","16181","5337","9195","19650","4248","4637","1968","8265","9895","6977","12663","9245"
"Jan 31, 2023","34587","15376","6990","13762","22575","4674","4247","4885","8820","10786","8619","13074","11868"
"Jan 24, 2023","32710","10170","7996","16662","20903","5077","3010","7619","6056","10321","10935","8686","11515"
"Jan 17, 2023","31579","11308","5250","15888","22574","3903","3275","9325","5537","7591","11605","9684","9890"
"Jan 10, 2023","27566","12607","5257","10520","19019","4206","3057","4489","5727","7941","11035","10219","6655"
"Jan 03, 2023","29773","13366","5886","12378","20548","3842","3152","5983","6088","11028","10865","8201","8822"
"Dec 27, 2022","33552","15576","8669","13483","21755","4061","2696","5966","7064","13727","9802","9013","12778"
"Dec 20, 2022","29044","13386","7052","11210","18965","4154","2733","4530","6719","13936","7512","6057","11107"
"Dec 13, 2022","55294","19700","27206","28793","22697","5297","3887","18432","7343","11042","11453","13889","25159"
"Dec 06, 2022","42954","16302","22800","22950","16649","3397","3200","18326","4743","7998","12180","12083","21077"
"Nov 29, 2022","46180","18855","23909","23162","18521","3691","3278","18281","4192","7303","14502","14406","21465"
"Nov 22, 2022","42589","15536","19820","23526","18462","3203","3983","19366","3003","4991","16576","13684","17042"
"Nov 15, 2022","42589","15285","21913","24311","15930","2680","4433","20893","1430","3724","19286","14176","16323"
"Nov 08, 2022","45808","18085","24452","24923","16131","2532","4957","20117","848","3736","22730","17232","14751"
"Nov 01, 2022","47219","21115","24962","23103","16222","2707","5741","18464","1046","4137","22728","19970","15639"
"Oct 25, 2022","50620","15639","28523","31568","15279","2983","6388","25164","967","5578","23837","14771","16837"
"Oct 18, 2022","50448","10328","28773","37048","14689","2787","6701","30883","357","4953","23201","9688","17907"
"Oct 11, 2022","50557","11894","30936","35834","13317","2771","6246","28747","399","7446","21485","10204","20615"
"Oct 04, 2022","48487","14966","28944","30957","13698","2359","5640","23076","362","8335","19693","13373","21144"
"Sep 27, 2022","45240","12287","23758","30343","15271","2489","6090","23016","466","5381","18365","13515","19114"
"Sep 20, 2022","47884","11646","24235","33408","16617","2544","6746","26098","264","4899","18767","13331","20684"
"Sep 13, 2022","51079","17949","23250","27458","18050","2498","6605","23183","2980","4819","19302","16540","18066"
"Sep 06, 2022","46796","17165","19911","25900","19400","2540","6294","21513","2986","6580","19561","14219","15445"
"Aug 30, 2022","44376","16407","19531","24861","18328","2266","5675","20318","3483","6339","18008","13734","15345"
"Aug 23, 2022","42311","16789","18263","22994","17995","2009","5534","18854","3575","5698","16238","14377","15127"
"Aug 16, 2022","41729","18412","16643","20688","20493","2458","4422","16606","7235","5554","15532","16210","13419"
"Aug 09, 2022","45350","18224","18500","24700","20656","2239","6007","20540","4233","3851","17721","17866","15755"
"Aug 02, 2022","45274","16521","18094","25420","20562","2620","5905","21123","4190","3073","18676","16934","14454"
"Jul 26, 2022","46471","17311","21497","26498","18890","2249","5671","20709","3572","3172","18161","19446","17506"
"Jul 19, 2022","45467","15791","19462","26905","19678","2444","6000","20929","4123","3401","19665","17829","13941"
"Jul 12, 2022","45837","14926","20209","28261","19282","2436","6132","21115","3940","4327","20089","17019","14142"
"Jul 05, 2022","45403","13634","20690","29029","18508","2689","6154","22444","3668","3394","19895","16335","14595"
"Jun 28, 2022","40337","11720","17031","26167","17616","2256","5496","20872","3276","1657","19132","14516","11231"
"Jun 21, 2022","42889","14652","20075","26056","17300","2145","5478","20394","3230","2947","20703","16881","12872"
"Jun 14, 2022","45410","14894","21732","28062","18289","2236","5171","21434","3830","3212","22745","17062","11819"
"Jun 07, 2022","63540","12310","32081","43890","21209","2538","5448","36158","3757","3700","23433","13428","22820"
"May 31, 2022","55134","9179","27903","42010","20636","2762","5412","35695","4155","3307","22439","10634","19838"
"May 24, 2022","59279","10749","30070","45458","22755","2202","5584","38935","7542","2008","23697","12424","17714"
"May 17, 2022","60804","14998","32765","43219","21829","2358","5981","38618","6733","1618","22995","16854","22180"
"May 10, 2022","56235","15203","28199","38541","21667","2216","6094","34038","5746","1607","21985","17606","20582"
"May 03, 2022","50844","17427","24037","30789","20910","2423","5692","26066","3936","3971","20760","17001","18749"
"Apr 26, 2022","46510","22085","22019","21346","18877","2518","5053","17032","4028","3808","19502","21690","16242"
"Apr 19, 2022","41098","19081","18716","18853","18350","2797","3665","13662","1798","5958","15579","16981","18038"
"Apr 12, 2022","37585","16295","16584","17233","17662","3773","3055","12497","1","6028","13475","13803","19308"
"Apr 05, 2022","35788","15428","16997","15863","15692","4311","2913","10462","1045","6688","12584","13027","17675"
"Mar 29, 2022","34881","15504","16371","15507","15510","3666","2796","10581","1802","5693","12138","13490","16003"
"Mar 22, 2022","35256","17156","14636","14227","16296","3339","3790","10059","2178","4040","14118","16729","13064"
"Mar 15, 2022","39200","21493","17840","14671","16486","2417","4255","10167","2459","4700","17405","20879","13323"
"Mar 08, 2022","53250","15775","28154","33005","19413","2792","4005","27265","1766","3013","18128","15611","24046"
"Mar 01, 2022","50389","10485","24657","36326","20236","2665","4583","32500","1317","1230","23682","12495","17982"
"Feb 22, 2022","56636","17343","28894","35481","21573","2608","4965","31496","1210","1037","27128","19827","19702"
"Feb 15, 2022","64105","24923","34256","35432","23412","2838","5525","31560","1764","1685","28515","26938","25178"
"Feb 08, 2022","54877","17168","27534","33591","20858","3097","5464","29012","2499","2034","26079","19295","17321"
"Feb 01, 2022","58467","19205","30903","35644","21625","2783","5104","29964","2329","3118","27260","21191","20285"
"Jan 25, 2022","53316","15948","26721","33712","20431","2784","5292","27665","2017","2560","24553","18408","17775"
"Jan 18, 2022","44727","11612","19943","29876","19254","2851","5142","23811","2209","4134","17420","12351","17119"
"Jan 11, 2022","42066","10960","19564","27650","17346","2979","4679","21448","1873","4195","19061","11940","13186"
"Jan 04, 2022","40302","9417","18262","27208","16873","3000","4490","21529","1981","4060","19648","9988","11215"
"Dec 28, 2021","41862","11231","19652","27097","16997","3025","4704","21075","1719","4010","20108","11833","12186"
"Dec 21, 2021","41354","11050","17186","26819","17953","2809","5539","21761","1651","3448","20772","11408","10369"
"Dec 14, 2021","41223","13539","19400","23994","15820","3081","5394","20220","1636","2624","19893","13894","11858"
"Dec 07, 2021","55975","31881","21173","15123","23998","3194","5027","11088","11673","1834","18130","33132","13400"
"Nov 30, 2021","49483","30465","19835","14387","23690","3098","4425","10023","14198","3371","12821","30110","14519"
"Nov 23, 2021","44524","27835","13896","10943","25803","4596","3675","5994","18639","6079","8236","25565","10954"
"Nov 16, 2021","42945","26388","12423","10349","25870","4923","3367","4006","19843","6982","5927","24394","10726"
"Nov 09, 2021","43461","25312","12430","11467","26606","5405","3148","3758","21183","8868","6106","22258","9769"
"Nov 02, 2021","45436","27504","13643","10659","27284","5893","3129","3535","21718","8665","4636","23865","12763"
"Oct 26, 2021","43061","24490","15584","11307","22781","5819","3251","3340","17838","9722","3123","20937","15535"
"Oct 19, 2021","37730","21004","14564","11194","18792","4631","3473","5052","11456","5725","5961","19972","13928"
"Oct 12, 2021","37340","20467","11719","12586","20737","3646","4243","6919","11285","5708","9541","19474","9860"
"Oct 05, 2021","35861","17887","9831","13588","21474","3702","3872","5901","12067","7244","10605","17364","6746"
"Sep 28, 2021","33673","18324","8078","10472","21070","4106","3754","3494","13142","7827","8356","16530","5826"
"Sep 21, 2021","36691","19703","11601","11012","20233","4873","3754","3144","13517","8368","10343","18361","7094"
"Sep 14, 2021","35667","17554","11348","11196","19951","5873","3324","2978","14380","8413","10129","16381","5929"
"Sep 07, 2021","58075","20074","16211","28184","33173","5104","3978","10184","19604","8531","9111","20005","11543"
"Aug 31, 2021","48296","17692","19833","23425","21053","3919","4150","12073","12890","7093","11335","19399","14434"
"Aug 24, 2021","46444","17219","17581","23251","21420","3153","4622","12958","11819","6346","12951","18564","11291"
"Aug 17, 2021","44222","16674","16909","20707","20363","4111","4220","10941","13950","6577","9087","18054","12537"
"Aug 10, 2021","46690","17295","18327","21486","19942","3769","4281","11010","13798","6628","10126","19682","12544"
"Aug 03, 2021","42743","16959","17284","20816","20494","4183","4180","11440","13698","5601","10247","19319","12600"
"Jul 27, 2021","43953","19505","18084","20182","21373","3935","4165","11147","14318","5707","12041","21337","11686"
"Jul 20, 2021","43583","20671","17625","18166","20614","4144","4742","11212","13821","3299","11705","22747","10934"
"Jul 13, 2021","42463","20627","17397","17004","19798","3899","4335","10572","13911","3743","9957","21816","11538"
"Jul 06, 2021","41756","19412","17651","16518","19581","4622","3320","9211","15598","4890","8562","20973","11615"
"Jun 29, 2021","41352","19914","16790","15696","19617","4521","3724","8837","15372","4863","7011","20951","12640"
"Jun 22, 2021","39285","19171","15885","14655","18785","4615","3771","8053","14611","5041","5752","20154","12533"
"Jun 15, 2021","37913","18466","15201","12962","18619","5787","3395","3445","14302","11768","4063","15489","13585"
"Jun 08, 2021","45803","21962","16456","14424","23484","6521","2967","4946","17778","11667","5716","18569","14255"
"Jun 01, 2021","46253","24684","18757","13844","23127","6170","2814","4798","18199","11991","6272","20683","15548"
"May 25, 2021","44245","24446","15861","12973","24680","5873","2751","4738","18319","11265","6593","20556","13760"
"May 18, 2021","43155","23624","15174","13176","24679","5508","2455","4712","18532","12075","5526","19405","14194"
"May 11, 2021","45414","26377","17033","12328","24523","5566","2715","4655","18466","12126","4748","20451","16332"
"May 04, 2021","44453","26371","17783","12363","22928","4952","2975","4733","16533","11786","5502","20787","16590"
"Apr 27, 2021","44102","25852","18873","12348","21177","5069","3219","4898","14942","10412","6659","21636","16417"
